episode,length,total_reward,avg_q,exploration,land,soft_land
64,121,-64.27126,0.09191032,0.7231126945540018,False,False
65,131,-80.29012,-0.23112647,0.719515118959206,False,False
66,115,-136.18198,-0.0054532113,0.7159354417504538,False,False
67,159,-130.99016,-0.2157598,0.7123735738810486,True,False
68,53,-14.323492,-0.112908185,0.7088294267473121,False,False
69,78,-48.19302,-0.27842206,0.7053029121863803,False,False
70,122,-175.68332,0.054625362,0.7017939424740103,False,False
71,166,-108.83094,-0.16896343,0.6983024303223984,False,False
72,99,-124.64354,-0.17302907,0.6948282888780084,False,False
73,169,-73.24802,-0.45468345,0.6913714317194114,False,False
74,119,-120.24637,-0.24747446,0.6879317728551358,False,False
75,84,266.38806,-0.3935057,0.6845092267215283,True,True
76,83,-69.12051,-0.25311056,0.6811037081806252,False,False
77,81,-99.9677,-0.29399475,0.6777151325180351,False,False
78,138,-50.43767,-0.2428691,0.674343415440831,False,False
79,169,-184.66281,-0.3498838,0.6709884730754538,False,False
80,84,-76.94003,-0.1681104,0.6676502219656257,False,False
81,93,-135.75693,0.06512924,0.6643285790702744,False,False
82,75,-72.65137,-0.25264758,0.6610234617614672,False,False
83,89,-85.608505,-0.7714408,0.6577347878223555,False,False
84,758,8516.053,-0.21022172,0.6544624754451299,False,False
85,106,-157.50247,-0.18816578,0.651206443228985,False,False
86,109,-136.31522,-0.07855384,0.6479666101780946,True,False
87,136,-82.09436,-0.067834765,0.6447428956995968,False,False
88,80,-54.292046,-0.25388107,0.6415352196015889,False,False
89,124,226.61676,-0.44647694,0.6383435020911333,True,True
90,169,-136.62408,-0.32111144,0.6351676637722721,False,False
91,124,-175.75868,-0.1433948,0.6320076256440519,False,False
92,86,-54.55193,-0.13965614,0.6288633090985591,False,False
93,93,-87.30083,-0.1276881,0.6257346359189644,False,False
94,74,-97.00498,-0.34103957,0.6226215282775766,False,False
95,159,-79.230545,-0.5033033,0.6195239087339071,False,False
96,88,-58.770504,-0.29494175,0.6164417002327434,False,False
97,98,-111.933136,-0.313243,0.6133748261022323,True,False
98,114,-46.183,-0.2753479,0.6103232100519724,False,False
99,120,-100.716,-0.29070187,0.6072867761711169,False,False
100,119,-43.053185,-0.19608553,0.6042654489264846,False,False
101,144,-194.79965,-0.51214767,0.6012591531606812,False,False
102,109,-108.59408,-0.4086546,0.5982678140902301,False,False
103,135,-115.03482,-0.44257087,0.5952913573037116,False,False
104,121,-183.5818,-0.7766471,0.5923297087599121,False,False
105,182,-104.699326,-0.64598024,0.5893827947859822,False,False
106,85,-91.714966,-0.3315267,0.5864505420756042,False,False
107,67,-23.606167,-0.63825685,0.5835328776871684,False,False
